Groupe,Page (nom Webflow),URL actuelle,Statut,Type,Créée le,Modifiée le (Paris),Décision proposée,Action demain,Pourquoi,301 au go-live →,Ancien formulaire Webflow,Existe sur la prod,Validé par,Fait,ID Webflow
1. Nouveau site,Home,/,Publiée,Statique,2024-09-28,2026-09-24 17:30,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Oui,,,6aaaafd0271107b340148ce0
1. Nouveau site,About Us,/company/about-us,Publiée,Statique,2024-10-19,2026-09-24 18:09,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Oui,,,6aaaafd0271107b340148d05
1. Nouveau site,Customer Stories,/customer-stories,Publiée,Statique,2026-09-23,2026-09-24 16:45,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Non (créée après le 16/09),,,6ab3eafee2e82eb1347bc7f2
1. Nouveau site,Klarys joins Consentio,/klarys-joins-consentio,Publiée,Statique,2026-09-24,2026-09-24 16:59,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Non (créée après le 16/09),,,6ab4ed0fc1f440501102f46b
1. Nouveau site,Cookie policy,/legal/cookie-policy,Publiée,Statique,2025-01-22,2026-09-23 13:39,GARDER,Aucune,Page du nouveau site (modifiée le 23/09).,—,,Oui,,,6aaaafd0271107b340148d26
1. Nouveau site,Data processing agreement,/legal/data-processing-agreement,Publiée,Statique,2025-01-22,2026-09-23 14:47,GARDER,Aucune,Page du nouveau site (modifiée le 23/09).,—,,Oui,,,6aaaafd0271107b340148d22
1. Nouveau site,Legal notice,/legal/legal-notice,Publiée,Statique,2025-01-22,2026-09-23 15:20,GARDER,Aucune,Page du nouveau site (modifiée le 23/09).,—,,Oui,,,6aaaafd0271107b340148d24
1. Nouveau site,Privacy policy,/legal/privacy-policy,Publiée,Statique,2025-01-22,2026-09-23 14:10,GARDER,Aucune,Page du nouveau site (modifiée le 23/09).,—,,Oui,,,6aaaafd0271107b340148d25
1. Nouveau site,Terms & conditions,/legal/terms-and-conditions,Publiée,Statique,2025-01-22,2026-09-23 14:45,GARDER,Aucune,Page du nouveau site (modifiée le 23/09).,—,,Oui,,,6aaaafd0271107b340148d23
1. Nouveau site,Request Demo,/request-demo,Publiée,Statique,2024-11-05,2026-09-24 18:03,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Oui,,,6aaaafd0271107b340148d09
1. Nouveau site,Request Demo Retailers,/request-demo-retailers,Publiée,Statique,2026-09-24,2026-09-24 18:00,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Non (créée après le 16/09),,,6ab5333bfe2d2a021592fcc1
1. Nouveau site,Request Demo Suppliers,/request-demo-suppliers,Publiée,Statique,2026-09-24,2026-09-24 18:03,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Non (créée après le 16/09),,,6ab5333b000e757cf619798e
1. Nouveau site,Resources,/resources,Publiée,Statique,2026-09-23,2026-09-24 16:50,GARDER,Aucune,Page du nouveau site (modifiée le 24/09).,—,,Non (créée après le 16/09),,,6ab3fe194064421e7a0ba9bb
