Date,Titre,Ancienne URL,Statut,Décision,Cible 301,Note
2025-10-21,Healthy snacking: when fruits and vegetables become everyday stars,/blog/healthy-snacking-when-fruits-and-vegetables-become-everyday-stars,publié,Déjà dans Resources,/resources/healthy-snacking-when-fruits-and-vegetables-become-everyday-stars,
2025-07-15,"Fruit & Vegetables: Finally, a clear guide to your tools",/blog/fruit-vegetables-finally-a-clear-guide-to-your-tools,publié,Déjà dans Resources,/resources/fruit-vegetables-finally-a-clear-guide-to-your-tools,
2025-06-25,Why Tomatoes Don’t Grow Everywhere at the Same Time – And Why That Changes Everything for Industry Professionals,/blog/why-tomatoes-dont-grow-everywhere-at-the-same-time---and-why-that-changes-everything-for-industry-professionals,publié,Déjà dans Resources,/resources/why-tomatoes-dont-grow-everywhere-at-the-same-time---and-why-that-changes-everything-for-industry-professionals,
2025-05-28,Plastic in the Fruit and Vegetable Supply Chain: A Necessary Evil?,/blog/plastic-in-the-fruit-and-vegetable-supply-chain,publié,Déjà dans Resources,/resources/plastic-in-the-fruit-and-vegetable-supply-chain,
2025-05-23,How Coast Tropical Eliminated 20 Hours of Manual Processing Each Week,/blog/customer-voice-coast-tropical,publié,Customer Story existante,/customer-stories/coast-tropical-order-automation,
2025-04-03,Customer Voice: Lagadec primeurs,/blog/use-case-lagadec,publié,Customer Story existante,/customer-stories/lagadec-primeurs-customer-communication,
2025-03-20,Non-standard products: A wasted source of value,/blog/non-standard-products-a-wasted-source-of-value,publié,Déjà dans Resources,/resources/non-standard-products-a-wasted-source-of-value,
2025-02-20,Coffee: between daily pleasure and global Impact,/blog/coffee-between-daily-pleasure-and-global-impact,brouillon,Déjà dans Resources,/resources/coffee-between-daily-pleasure-and-global-impact,"Brouillon : pas d’URL en ligne, pas de 301"
2025-01-23,Anecoop's testimonial,/blog/anecoops-testimonial,brouillon,Customer Story existante,/customer-stories/anecoop-order-profitability,"Brouillon : pas d’URL en ligne, pas de 301"
2025-01-02,What are the industry trends for 2025?,/blog/what-are-the-industry-trends-for-2025,publié,Déjà dans Resources,/resources/what-are-the-industry-trends-for-2025,
2024-04-17,How sourcing is key to the success of the Fruit & Veg. department,/blog/how-sourcing-is-key-to-the-success-of-the-fruit-veg-department,publié,Déjà dans Resources,/resources/how-sourcing-is-key-to-the-success-of-the-fruit-veg-department,
2024-03-27,The evolving roles and needs of stakeholders in European supply chains,/blog/the-evolving-roles-and-needs-of-stakeholders-in-european-supply-chains,publié,Nouvelle version à écrire dans Resources,/resources (301 à mettre à jour une fois publiée),8. Reprise telle quelle (2024)
2024-03-21,"""Sales still often involve a lot of communication, and it all takes time.""",/blog/sales-still-often-involve-a-lot-of-communication-and-it-all-takes-time,publié,Déjà dans Resources,/resources/sales-still-often-involve-a-lot-of-communication-and-it-all-takes-time,
