Collection,Préfixe URL,Créée en,Items,Publiés,Dernier item créé,Verdict,Pourquoi,Cible / fusion,Vendredi 25/09,Après la bascule,301 générique,ID Webflow,Validé par
Resources,/resources/,2026,55,55,2026-09,GARDER,Hub éditorial du nouveau site (34 articles Consentio + 21 Klarys),+8 nouvelles versions du blog ; 4 témoignages à sortir vers Customer Stories,Rien,Harmoniser audience / source-brand / country avec Customer Stories ; vider canonical-url (21) quand klarys.io redirige,—,6ab38c2d7da8705b11f01e5f,
Customer Stories,/customer-stories/,2026,8,8,2026-09,GARDER,Cas clients du nouveau site (Consentio + Klarys),"+4 témoignages venus de Resources (Vitale, Picvert, Ame Haslé, Alsum Farms) → 12 stories",Rien (Bell et Ultra Marine vides : déjà dans le P1),Corriger source-brand de Bell Food Group (client Klarys) ; ordre en doublon,—,6ab3a0a99759d62f86280b85,
Product modules,/product-modules/,2026,5,5,2026-09,GARDER (données),Taxonomie produit référencée par Customer Stories,L’ajouter aussi à Resources (ressources liées par module),Rien,Template : noindex + hors sitemap (5 pages vides),—,6ab3a099a10f2540aaa498ef,
Retailers Logo collections,/retailers-logo-collection/,2026,20,20,2026-09,GARDER (données),Bandeaux logos Home / Retailers / Suppliers,Renommer « Logos clients » ; y fusionner les autres collections de logos,Rien,"Template : noindex + hors sitemap (20 pages vides) ; ajouter E.Leclerc, Walmart, Greenery après validation légale",—,6ab3a781b58a494d156ea4f7,
Blog Posts,/blog/,2020,95,90,2025-10,FUSIONNER → Resources,95 articles 2020-2025 : 34 déjà repris dans Resources,20 fusionnés dans une ressource existante · 13 → 8 nouvelles versions · 3 → Customer Stories · 25 archivés (voir le tri des 95 articles),Archiver les 95 items,301 précises au go-live ; 1 nouvelle version par semaine ; suppression mi-octobre,/blog/(.*) → /resources,6aaaafd0271107b340148d93,
Content Hubs,/contenthub/,2020,121,119,2024-04,ARCHIVER (doublon),116 items sur 121 = copies exactes de Blog Posts (84) et Podcasts (32),"Aucune : les 5 items uniques sont obsolètes (COVID 2020, placeholder ES)",Archiver les 121 items,Suppression mi-octobre,/contenthub/(.*) → /resources,6aaaafd0271107b340148d9a,
Blog Posts only- es,/blog-posts-only-es/,2023,7,7,2023-01,ARCHIVER,"5 articles de démo du gabarit Webflow (« Why We Love Webflow… ») + 2 « ACTUALIDAD », publiés",Aucune (l’espagnol passe par la locale ES),Archiver les 7 items,Suppression mi-octobre,/blog-posts-only-es/(.*) → /resources,6aaaafd0271107b340148d9e,
Use Cases,/use/,2021,4,3,2025-06,FUSIONNER → Customer Stories,3 cas sur 4 déjà dans Customer Stories ; Ame Haslé (brouillon) déjà dans Resources,Ame Haslé → Customer Stories (avec les 3 autres témoignages),Archiver les 4 items,Suppression mi-octobre,/use/(.*) → /customer-stories,6aaaafd0271107b340148d5f,
Ebooks,/ebook/,2021,1,1,2021-06,FUSIONNER → Resources (option),"1 e-book de 2021 (PDF), page de téléchargement dans /old/",Le republier dans Resources avec pdf-download s’il sert encore d’aimant à leads,Archiver l’item,Vérifier le workflow HubSpot qui envoie le PDF,/ebook/(.*) → /resources,6aaaafd0271107b340148d4b,
Podcasts,/podcasts/,2020,32,32,2022-07,ARCHIVER (à trancher),"32 épisodes 2020-2022, série arrêtée depuis juillet 2022",Option : 2-3 épisodes phares en ressources,Archiver les 32 items,Décision Emilien,/podcasts/(.*) → /resources,6aaaafd0271107b340148d99,
Webinars,/webinar/,2021,0,0,—,SUPPRIMER,Collection vide (0 item),—,Rien,Suppression mi-octobre,/webinar/(.*) → /resources,6aaaafd0271107b340148cee,
Media,/media/,2020,32,32,2021-04,ARCHIVER (à trancher),32 retombées presse 2020-2021,Option : 6 logos « Ils parlent de nous » en statique sur About Us,Archiver les 32 items,Décision Emilien,/media/(.*) → /company/about-us,6aaaafd0271107b340148d96,
Team Members,/team/,2020,23,23,2023-12,ARCHIVER (à trancher),"23 fiches 2020-2023 (photos + LinkedIn), plusieurs départs probables",Option : équipe actuelle sur About Us,Archiver les 23 items,Décision Emilien ; ne pas republier d’ex-salariés (RGPD),/team/(.*) → /company/about-us,6aaaafd0271107b340148d9c,
Jobs,/jobs-listing/,2020,7,1,2022-10,ARCHIVER,"1 offre publiée (stagiaire, 2022) + 5 brouillons + 1 archivée",Recrutement : lien ATS ou LinkedIn sur Join us,Archiver les 7 items,Suppression mi-octobre,/jobs-listing/(.*) → /company/about-us,6aaaafd0271107b340148d35,
