Ordre,Ancienne URL,Nouvelle URL,Type,Collection,Note
1,/blog/healthy-snacking-when-fruits-and-vegetables-become-everyday-stars,/resources/healthy-snacking-when-fruits-and-vegetables-become-everyday-stars,précise,Blog Posts,article repris ou fusionné
2,/blog/fruit-vegetables-finally-a-clear-guide-to-your-tools,/resources/fruit-vegetables-finally-a-clear-guide-to-your-tools,précise,Blog Posts,article repris ou fusionné
3,/blog/why-tomatoes-dont-grow-everywhere-at-the-same-time---and-why-that-changes-everything-for-industry-professionals,/resources/why-tomatoes-dont-grow-everywhere-at-the-same-time---and-why-that-changes-everything-for-industry-professionals,précise,Blog Posts,article repris ou fusionné
4,/blog/plastic-in-the-fruit-and-vegetable-supply-chain,/resources/plastic-in-the-fruit-and-vegetable-supply-chain,précise,Blog Posts,article repris ou fusionné
5,/blog/customer-voice-coast-tropical,/customer-stories/coast-tropical-order-automation,précise,Blog Posts,article repris ou fusionné
6,/blog/use-case-lagadec,/customer-stories/lagadec-primeurs-customer-communication,précise,Blog Posts,article repris ou fusionné
7,/blog/non-standard-products-a-wasted-source-of-value,/resources/non-standard-products-a-wasted-source-of-value,précise,Blog Posts,article repris ou fusionné
8,/blog/what-are-the-industry-trends-for-2025,/resources/what-are-the-industry-trends-for-2025,précise,Blog Posts,article repris ou fusionné
9,/blog/how-sourcing-is-key-to-the-success-of-the-fruit-veg-department,/resources/how-sourcing-is-key-to-the-success-of-the-fruit-veg-department,précise,Blog Posts,article repris ou fusionné
10,/blog/sales-still-often-involve-a-lot-of-communication-and-it-all-takes-time,/resources/sales-still-often-involve-a-lot-of-communication-and-it-all-takes-time,précise,Blog Posts,article repris ou fusionné
11,/blog/third-competition-for-the-most-beautiful-fruit-vegetable-shelf,/resources/third-competition-for-the-most-beautiful-fruit-vegetable-shelf,précise,Blog Posts,article repris ou fusionné
12,/blog/digital-transformation-more-than-a-trend-a-priority,/resources/digital-transformation-more-than-a-trend-a-priority,précise,Blog Posts,article repris ou fusionné
13,/blog/in-2023-consentio-enjoyed-many-successes-and-learnt-some-valuable-lessons-too-paving-the-way-for-a-promising-future,/resources/in-2023-consentio-enjoyed-many-successes-and-learnt-some-valuable-lessons-too-paving-the-way-for-a-promising-future,précise,Blog Posts,article repris ou fusionné
14,/blog/business-digitalization-why-outsource,/resources/business-digitalization-why-outsource,précise,Blog Posts,article repris ou fusionné
15,/blog/digitalization-at-the-heart-of-company-strategy,/resources/digitalization-at-the-heart-of-company-strategy,précise,Blog Posts,article repris ou fusionné
16,/blog/embracing-digitalization-means-valuing-people,/resources/embracing-digitalization-means-valuing-people,précise,Blog Posts,article repris ou fusionné
17,/blog/consentio-achieved-the-iso-27001-certification,/resources/consentio-achieved-the-iso-27001-certification,précise,Blog Posts,article repris ou fusionné
18,/blog/behind-the-screen-at-consentio,/resources/behind-the-screen-at-consentio,précise,Blog Posts,article repris ou fusionné
19,/blog/fruits-vegetables-packaging-and-regulations,/resources/fruits-vegetables-packaging-and-regulations,précise,Blog Posts,article repris ou fusionné
20,/blog/selling-a-digital-solution-means-helping-our-customers-to-manage-change,/resources/selling-a-digital-solution-means-helping-our-customers-to-manage-change,précise,Blog Posts,article repris ou fusionné
21,/blog/online-buying-and-selling-of-fresh-produce-aims-to-reduce-food-waste,/resources/online-buying-and-selling-of-fresh-produce-aims-to-reduce-food-waste,précise,Blog Posts,article repris ou fusionné
22,/blog/why-take-an-interest-in-sustainability-data,/resources/why-take-an-interest-in-sustainability-data,précise,Blog Posts,article repris ou fusionné
23,/blog/climate-and-resilience-working-for-the-future-ofagriculture,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Blog Posts,article repris ou fusionné
24,/blog/food-waste-the-big-deal,/resources/food-waste-the-big-deal,précise,Blog Posts,article repris ou fusionné
25,/blog/the-people-behind-consentio,/resources/the-people-behind-consentio,précise,Blog Posts,article repris ou fusionné
26,/blog/fresh-produce-supply-chains-why-automate,/resources/fresh-produce-supply-chains-why-automate,précise,Blog Posts,article repris ou fusionné
27,/blog/the-important-role-of-the-department-manager,/resources/the-important-role-of-the-department-manager,précise,Blog Posts,article repris ou fusionné
28,/blog/ensuring-business-continuity-the-importance-of-technological-solutions,/resources/consentio-achieved-the-iso-27001-certification,précise,Blog Posts,article repris ou fusionné
29,/blog/thirsty-crops-how-the-global-water-shortage-is-changing-the-food-value-chain,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Blog Posts,article repris ou fusionné
30,/blog/eyeing-the-future-of-the-global-food-waste-problem,/resources/food-waste-the-big-deal,précise,Blog Posts,article repris ou fusionné
31,/blog/innovation-in-fruits-and-vegetables,/resources/digital-agriculture-and-innovation,précise,Blog Posts,article repris ou fusionné
32,/blog/modern-problems-need-modern-solutions-for-fresh-produce-growers,/resources/fresh-produce-supply-chains-why-automate,précise,Blog Posts,article repris ou fusionné
33,/blog/sustainable-agricultural-practices-horticultural-grafting,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Blog Posts,article repris ou fusionné
34,/blog/what-is-sustainable-agriculture,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Blog Posts,article repris ou fusionné
35,/blog/distinct-opportunities-only-found-food-supply-chain,/resources/fresh-food-supply-chain-challenges,précise,Blog Posts,article repris ou fusionné
36,/blog/environmental-impact-digitization-sustainability-along-fresh-produce-supply-chain,/resources/why-take-an-interest-in-sustainability-data,précise,Blog Posts,article repris ou fusionné
37,/blog/demands-consumers-fruit-vegetable-sector-2021,/resources/local-consumption-trends,précise,Blog Posts,article repris ou fusionné
38,/blog/sustainable-agrotech-startups-2021,/resources/start-ups-and-agro-industry,précise,Blog Posts,article repris ou fusionné
39,/blog/the-difference-between-food-loss-and-food-waste,/resources/food-waste-and-losses,précise,Blog Posts,article repris ou fusionné
40,/blog/how-to-save-water-in-agriculture,/resources/climate-and-resilience-working-for-the-future-ofagriculture,précise,Blog Posts,article repris ou fusionné
41,/blog/advantages-and-disadvantages-of-local-fruits-and-vegetables,/resources/local-consumption-trends,précise,Blog Posts,article repris ou fusionné
42,/blog/innovations-in-the-fruit-and-vegetable-sector-in-2021,/resources/digital-agriculture-and-innovation,précise,Blog Posts,article repris ou fusionné
43,/blog/avoiding-food-loss-for-a-fruits-and-vegetables-business,/resources/food-waste-and-losses,précise,Blog Posts,article repris ou fusionné
44,/blog/imperfect-fruits-and-vegetables-the-flavor-is-on-the-inside,/resources/non-standard-products-a-wasted-source-of-value,précise,Blog Posts,article repris ou fusionné
45,/blog/the-circular-economy-in-the-fruit-and-vegetable-sector,/resources/the-circular-economy-in-the-fruit-and-vegetable-sector,précise,Blog Posts,article repris ou fusionné
46,/blog/the-digitization-of-the-fruits-and-vegetables-industry-due-to-covid-19,/resources/digital-transformation-more-than-a-trend-a-priority,précise,Blog Posts,article repris ou fusionné
47,/blog/modernization-of-cooperatives-thanks-to-rfid-technology,/resources/transformation-digital-cooperatives,précise,Blog Posts,article repris ou fusionné
48,/blog/innovation-areas-agri-food-indstry,/resources/innovation-areas-agri-food-indstry,précise,Blog Posts,article repris ou fusionné
49,/blog/logistics-challenges-retail-industry,/resources/logistics-challenges-retail-industry,précise,Blog Posts,article repris ou fusionné
50,/blog/transformation-digital-cooperatives,/resources/transformation-digital-cooperatives,précise,Blog Posts,article repris ou fusionné
51,/blog/technology-traceability-blockchain,/resources/technology-traceability-blockchain,précise,Blog Posts,article repris ou fusionné
52,/blog/technology-traceability-sensors,/resources/technology-traceability-sensors,précise,Blog Posts,article repris ou fusionné
53,/blog/technologie-tracabilite-capteurs,/resources/technology-traceability-sensors,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
54,/blog/technologie-tracabilite-blockchain,/resources/technology-traceability-blockchain,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
55,/blog/transformation-cooperatives-numeriques,/resources/transformation-digital-cooperatives,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
56,/blog/defis-logistiques-industrie-fruits-legumes,/resources/logistics-challenges-retail-industry,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
57,/blog/domaines-innovation-industrie-agroalimentaire,/resources/innovation-areas-agri-food-indstry,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
58,/blog/economie-circulaire-dans-industrie-fruits-legumes,/resources/the-circular-economy-in-the-fruit-and-vegetable-sector,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
59,/blog/our-customer-portfolio-has-increased-significantly,/resources/our-customer-portfolio-has-increased-significantly,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
60,/blog/the-introduction-of-consentio-has-positioned-us-as-a-cutting-edge-leader-in-the-industry-discover-alsum-farms-produces-testimonial,/resources/the-introduction-of-consentio-has-positioned-us-as-a-cutting-edge-leader-in-the-industry-discover-alsum-farms-produces-testimonial,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
61,/blog/coffee-between-daily-pleasure-and-global-impact,/resources/coffee-between-daily-pleasure-and-global-impact,précise,"Blog Posts (slug FR, fr.consentio.co)",ancien slug traduit
62,/contenthub/how-sourcing-is-key-to-the-success-of-the-fruit-veg-department,/resources/how-sourcing-is-key-to-the-success-of-the-fruit-veg-department,précise,Content Hubs,doublon d’un article repris
63,/contenthub/sales-still-often-involve-a-lot-of-communication-and-it-all-takes-time,/resources/sales-still-often-involve-a-lot-of-communication-and-it-all-takes-time,précise,Content Hubs,doublon d’un article repris
64,/contenthub/third-competition-for-the-most-beautiful-fruit-vegetable-shelf,/resources/third-competition-for-the-most-beautiful-fruit-vegetable-shelf,précise,Content Hubs,doublon d’un article repris
65,/contenthub/digital-transformation-more-than-a-trend-a-priority,/resources/digital-transformation-more-than-a-trend-a-priority,précise,Content Hubs,doublon d’un article repris
66,/contenthub/in-2023-consentio-enjoyed-many-successes-and-learnt-some-valuable-lessons-too-paving-the-way-for-a-promising-future,/resources/in-2023-consentio-enjoyed-many-successes-and-learnt-some-valuable-lessons-too-paving-the-way-for-a-promising-future,précise,Content Hubs,doublon d’un article repris
67,/contenthub/embracing-digitalization-means-valuing-people,/resources/embracing-digitalization-means-valuing-people,précise,Content Hubs,doublon d’un article repris
68,/contenthub/business-digitalization-why-outsource,/resources/business-digitalization-why-outsource,précise,Content Hubs,doublon d’un article repris
69,/contenthub/digitalization-at-the-heart-of-company-strategy,/resources/digitalization-at-the-heart-of-company-strategy,précise,Content Hubs,doublon d’un article repris
70,/contenthub/behind-the-screen-at-consentio,/resources/behind-the-screen-at-consentio,précise,Content Hubs,doublon d’un article repris
71,/contenthub/fruits-vegetables-packaging-and-regulations,/resources/fruits-vegetables-packaging-and-regulations,précise,Content Hubs,doublon d’un article repris
72,/contenthub/selling-a-digital-solution-means-helping-our-customers-to-manage-change,/resources/selling-a-digital-solution-means-helping-our-customers-to-manage-change,précise,Content Hubs,doublon d’un article repris
73,/contenthub/online-buying-and-selling-of-fresh-produce-aims-to-reduce-food-waste,/resources/online-buying-and-selling-of-fresh-produce-aims-to-reduce-food-waste,précise,Content Hubs,doublon d’un article repris
74,/contenthub/why-take-an-interest-in-sustainability-data,/resources/why-take-an-interest-in-sustainability-data,précise,Content Hubs,doublon d’un article repris
75,/contenthub/consentio-achieved-the-iso-27001-certification,/resources/consentio-achieved-the-iso-27001-certification,précise,Content Hubs,doublon d’un article repris
76,/contenthub/food-waste-the-big-deal,/resources/food-waste-the-big-deal,précise,Content Hubs,doublon d’un article repris
77,/contenthub/the-people-behind-consentio,/resources/the-people-behind-consentio,précise,Content Hubs,doublon d’un article repris
78,/contenthub/fresh-produce-supply-chains-why-automate,/resources/fresh-produce-supply-chains-why-automate,précise,Content Hubs,doublon d’un article repris
